Topic,Location,Article
Business/investor sentiment,Abu Dhabi,"532,000 business licences were issued in the UAE by end-August.

New licence issuances across the UAE surged nine per cent in eight months this year over the same 2017 period, reflecting the steady recovery in business confidence.

According to the UAE's Ministry of Economy, a total of 532,000 business licences were issued across the Emirates by the end of August, with Dubai and Abu Dhabi accounting for 85 per cent of the total at 453,000.

While Dubai accounted for 249,000 or 46.8 per cent, in Abu Dhabi, a total of 77,406 licences were issued.

Analysts see the surge in new licence issuance despite the challenging business environment against the backdrop of general regional slowdown as a vote of confidence in the long-term UAE economic prospects and its pro-business policies and initiatives.

In 2017 World Bank Ease of Doing Business report, the UAE ranked 21st globally and first among Arab countries for the fifth year in a row.

Data from the Ministry of Economy show that in Dubai, limited liability companies account for the majority of the new licences (170,066 companies), followed by individual companies (72,807), foreign companies (2,141), single member limited liability companies (1,869), and Gulf companies (894).

In Abu Dhabi, out of the 77,406 licences, 25,460 were for limited liability companies and 17,942 for company branches.

In Sharjah, 51,998 licences were issued, of which 23,178 were for limited liability companies.

Dubai and Abu Dhabi have been initiating several stimulus measures on top of several new policy and regulatory reforms undertaken on federal level, including 10-year residency visa for certain categories as well labour guarantee refund, to stimulate business growth.

As part of a drive to encourage new businesses, the Abu Dhabi Department of Economic Development launched recently its expanded Tajer Abu Dhabi licence package, enabling business applications from all GCC nationals and UAE residents with an Emirati partner without an office or physical presence. The committee also abolished the need for a two-year office or workspace licence, permitting instead permanent home-based licences.

The service is part of the three-year Dh50 billion stimulus package for the emirate unveiled in June by His Highness Sheikh Mohamed bin Zayed Al Nahyan, Crown Prince of Abu Dhabi and Deputy Supreme Commander of the UAE Armed Forces.

Tajer Abu Dhabi allows new businesses to start at a much lower cost since they no longer have to invest in office space and all the associated costs. This will allow them to focus both time and money at the important early stages of their business into growth and innovation, further increasing their contribution to the economy.

Investor confidence in Dubai has been remaining strong despite several global and regional challenges on the back of a string of investor-friendly reforms and regulations initiated by the authorities.

According to various surveys, including the latest data provided by the Department of Economic Development, the competitive edge Dubai has been enjoying for years as a global hub for startups and new ventures received yet another acknowledgement with the DED data showing that the emirate clocked 24,489 transactions related to business licensing and registration in July alone.

There have been several game-changing initiatives that have improved business confidence and the long-term investment outlook of Dubai. However, the most anticipated game-changer will be the new investment law to be unveiled in the fourth quarter - which will authorise complete foreign ownership of firms in select sectors, analysts said.

The landmark decision of the UAE Cabinet to raise global investors' ownership of companies to 100 per cent and the launch of an integrated system for UAE visas aimed at attracting talents are among the critical steps that fast-track the country's efforts towards achieving the objectives of the National Agenda 2021, analysts said.

The Dubai Competitiveness Report 2018 issued by the Switzerland-based IMD World Competitiveness Centre in cooperation with the Dubai Competitiveness Office of the DED shows that the emirate ranks first in the Arab world and fourth worldwide in the 'economic performance' pillar, outpacing Canada, Japan, Singapore and Hong Kong and all EU countries excluding Luxembourg.

According to the report, Dubai leads the Arab world in direct inward investment flows and tourism receipts among others. The report showed that Dubai ranked first among Arab countries and ninth globally in inward investment with 6.42 per cent of GDP and with a stock of $73.8 billion, ahead of the US, Australia, Canada, Germany, France and China. Dubai also ranked second in the Arab world and 12th globally in 'foreign direct investment abroad' with 4.51 per cent of GDP and a total stock of $28.8 billion.
"
Business/investor sentiment,Abu Dhabi,"The Abu Dhabi index rose on Tuesday, extending gains for another session to its highest level in more than three years, leading regional gains, on the back of buying in banking shares.

The Abu Dhabi Securities Exchange general index hit a high of 4,915.35, the highest level seen since October 2014, since before closing 0.57 per cent higher to 4,911.19.

'In Abu Dhabi, the index displayed a significant increase on the back of First Abu Dhabi bank that has accomplished key milestones in the integration process of its merger, which boosted investor confidence in the financial sector as a whole, where heavyweight Abu Dhabi Commercial Bank also pulled the index up,' Issam Kassabieh, senior analyst with Menacorp, said in a morning note.

First Abu Dhabi Bank closed 1.79 per cent higher to Dh14.25. Union National Bank, Dana Gas and Waha Capital closed 0.50-1 per cent higher. Abu Dhabi Commercial Bank closed 0.7 per cent lower to Dh7.12.

'The focus now is on the real estate sector. Though there may be exceptional items that boost bottom line as a result of the real estate stimulus package, revenues are expected to take a hit and the market desperately needs to see maintained margins in order to prevent the sector from falling even further,' Kassabieh said.

The Dubai Financial Market General Index closed 0.90 per cent lower to 2,951.07. Dubai Islamic Bank fell 0.39 per cent lower to Dh5.06. Emaar Properties closed 1.21 per cent lower to Dh5.31.

Emaar Development closed 1.55 per cent higher to Dh5.25. Gulf Finance House closed more than 1 per cent higher to Dh1.42.

Elsewhere in the Gulf, Saudi Arabia's Tadauwl index closed at 8,242.82, up 0.07 per cent. The Qatar exchange index closed 0.41 per cent higher to 9,973.97. The Muscat MSM 30 index closed at 4,447.71, up 0.62 per cent.

The Kuwait exchange index ended 0.38 per cent higher to 5,279.05."
Business/investor sentiment,Abu Dhabi,"Residential sale prices in Abu Dhabi declined by around one per cent in the first quarter of 2018 and by five per cent from the same period in 2017, as secondary market transactions suffered from suppressed investor sentiment, a report said.

Abu Dhabi's residential market continues to experience deflationary pressures driven by weak demand fundamentals and the cautionary approach of many occupiers, due to the uncertain employment environment, added the market analysis from CBRE, a commercial real estate services and in-vestment firm.

In the leasing market, average residential rentals have also continued to fall. However, positively the rate of decline is now lower than has been evident for much of the last three years. On a comparative year-on-year basis, rentals in the capital have dropped by around 10 per cent, but the quarterly change was around 1.6 per cent,” said Matthew Green, head of Research and Consulting at CBRE.

Key takeaways:

Residential

Despite the general downward trend in average rental rates, the emirate's housing performance has remained somewhat mixed, depicted by a range of declines between one to five per cent during the year period.

Despite the more challenging economic environment, Abu Dhabi's residential sector continued to witness an active off-plan sales market, led by a series of launches from the local developer Aldar. In 2017, Aldar is estimated to have launched close to 1,900 homes, of which 83 per cent of the units were sold by the end of the year.

Mayan, the luxury golf facing development of Aldar on Yas Island is understood to have been more than 80 per cent sold with a significant number of units purchased by UAE institutional investors.

Strong sales were also evident in the positive sales achieved by The Bridges on Reem Island and Waters Edge and West Yas developments on Yas Island.

By end 2020, the level of new supply in Abu Dhabi looks to be consistent, averaging just over 8,250 units per annum, and totalling roughly 25,000 units.

A report from the Statistics Centre Abu Dhabi (SCAD) has indicated a 7 per cent annual increase in the volume of foreign direct investment in Abu Dhabi during 2017. Sales of properties accounted for roughly 28 per cent, and were the highest contributory segment to the total FDI. Construction and building activities also grew by around 14 per cent during same period.

Hospitality

During 2017, Abu Dhabi welcomed around 4.9 million visitors, reflecting over 10 per cent growth over 2016 figures. This number is expected to expand at an even faster pace during 2018, with the Abu Dhabi's Department of Culture and Tourism (DCT) forecasting annual visitor numbers of over 5.5 million.

The opening of The Louvre Abu Dhabi, along with the other leisure attractions on Yas Island, has helped to expand the Emirate's tourism offerings to both domestic and foreign visitors.

The total number of hotel guests for the month of February reached around 358,400, which translated into a 16 per cent annual increase from last year's 308,000 hotel guests.

The average hotel occupancy in Abu Dhabi reached 81 per cent in February, roughly 3 per cent higher from same period in 2017.

Despite the increase in guests and occupancy rates, RevPAR's fell by close to 21 per cent, reaching to Dh286 ($77.8)/room February 2018, driven by a 23 per cent decline in ADR's, which dropped to Dh354/room/night, as compared to circa Dh460/room/night in February 2017.

Rising hotel inventory levels and stiff competition amongst hotel properties continues to weaken the overall revenue performance.

Assuming minimal levels of delay, the total room inventory in Abu Dhabi is estimated to reach circa 37,000 keys by the end of 2020.

Offices

Abu Dhabi's commercial office market remains in a contraction phase, with take-up levels suppressed by the lack of leasing activity from the Public Sector and Oil and Gas occupiers, which form the backbone of demand in the Emir-ate.

Average prime office rentals now measure around Dh1,615/per sq m/annum, having declined 8 per cent from Dh1,750/per sq m/annum for the same period in 2017. The outlook for offices remains somewhat bleak, with further downside to rentals and occupancy expected during 2018.

Secondary office rentals now average Dh800/per sq m/annum, roughly 15 per cent lower than the achieved rentals during the first quarter of 2017.

It is now a heavily tenant led market, with occupiers benefitting from a wide array of options, with landlords willing to offer much more flexibility in their leasing terms to secure tenancies and reduce the risk of long term vacancy rates.

As the market has softened, the pace of construction has slowed, with delays in building completion and actual handover of properties aiding the situation, offsetting the negative impacts of weaker demand and avoiding further aggravation of rental levels.

Future supply levels have also declined, with limited new office projects being launched over the past five years, reflects the market's challenges. In total circa 0.5 million sq m of new office space could enter the Abu Dhabi office market during 2018 - 2020, assuming minimal delays.

Retail

Just like other asset types, the retail sector is feeling the pinch of weaker demand levels as consumers have become more prudent with their spending (both from rising cost of living and impacts of VAT).

Despite the overall weaker market sentiment, major malls continue to enjoy comparatively strong occupancy and rental levels.

During the quarter, prime rents for typical line shops (mall-based) ranged between Dh2,500 – 3,200 per sq m per annum whilst similar units within off-island locations had rents between Dh2,000 – 3,200per sq m per annum.

Although, rental ranges remain wide, average rentals decline by around 8 per cent year-on-year, with more severe declines for secondary and tertiary locations.

With retail inventory levels expanding, mall operators are now becoming more open to negotiating with tenants and have become more generous with incentives and contract terms.

Analysis of the on-going development pipeline indicates that circa 0.29 million sq m of new retail GLA is expected to be handed over in the Abu Dhabi market during 2018 – 2020. Over the next three years, total retail development is expected to reach close to 1.9 million sq m GLA. This will reflect roughly 18 per cent of the existing organized retail stock.

Overall Market Outlook

Both commercial and residential leasing markets are expected to follow similar downward trajectories as the previous year, as new supply places further pressures on rentals and occupancy rates.

However, the hospitality sector is likely to see an improving outlook, as guest nights and occupancies continue to rise. However, average room rates and overall revenues are expected to face further downside risk.

As competition tightens, further drops in average room rates are to be expected as hotels target domestic tourists with attractive promotions and discount packages. – TradeArabia News Service"
Business/investor sentiment,Dubai,"Policy towards private enterprise and competition

2019-20: Government loosens restrictions on foreign ownership of local firms in some sectors. Federal and emirate-level authorities aim to promote the growth of small- and medium-sized enterprises.

2021-23: Private-sector involvement in the non-oil economy is encouraged and further major public-private partnerships for infrastructure projects and some state sell-offs are announced, mainly in the downstream oil and gas sector.

Policy towards foreign investment

2019-20:. Foreign firms start to take advantage of liberalisation of ownership rules in the sectors being opened up for 100% foreign ownership.

2021-23: Free zones continue to build momentum, attracting foreign investment into heavy industries, logistics and retail.

Foreign trade and exchange controls

2019-20: The dispute with Qatar stalls Gulf Co-operation Council (GCC) efforts to sign new free-trade agreements (FTAs).

2021-23: A GCC-EU FTA is likely to be held up by the Qatar dispute. The regulation of foreign-exchange flows may be strengthened further, to combat money-laundering. There may be a separate deal with the UK after Brexit.

Taxes

2019-20: Road tolls and property levies remain unchanged. Value-added tax (VAT) rates will remain unchanged.

2021-23: Corporate taxation may be widened beyond current limited sectors, but only at very low rates.

Financing

2019-20: Regulatory changes facilitate access to credit for small- and medium-sized firms. Financial markets widen the availability of instruments, including futures contracts.

2021-23 The Dubai and Abu Dhabi bourses may combine to boost liquidity and facilitate the listing of smaller stocks.

The labour market

2019-20: Greater regulation of working conditions, with coverage widened to include foreign labour. ""Emiratisation"" efforts include increasing the cost of foreign labour, but reliance on expatriates persists.

2021-23: The government raises its quotas for the number of UAE nationals that companies must employ, although Emiratisation efforts are carried out a slow pace.

Infrastructure

2019-20: Construction of the next phase of Dubai's metro and some projects to support Dubai's hospitality, logistics and entertainment strategy are completed for Expo 2020. The first of four nuclear plants becomes operational.

2021-23: Investment continues in power generation, especially renewables, including four nuclear reactors and solar plants.

Technological readiness

2019-20: The UAE, and particularly Dubai, moves ahead with its efforts to exploit the potential of blockchain technology, financial technology and artificial intelligence. Regulatory challenges hinder progress initially.

2021-23: Dubai emerges as the regional technology hub. Cyber-security preparedness becomes a policy priority.
"
Business/investor sentiment,Dubai,"New projects and tourism activity underpin growing confidence about the Dubai economy among local businesses, according to a survey by Dubai's Department of Economic Development (DED).

Analysis

The DED's quarterly business survey, released on November 10th, suggests the emirate's private sector is witnessing robust growth, as the government rolls out initiatives to boost growth and strengthen Dubai's credentials as a regional business hub. The services sector-traditionally dominant in Dubai-is the most confident market segment, followed by manufacturing. Overall, the Business Confidence Index for Dubai moved up to 118.5 points during the third quarter of 2018 from 112.7 points in the second quarter, although this is down on 121.4 points in the third quarter of 2017.

The recent DED report indicates an overall pick-up in economic activity, with some positive effects from higher oil prices in 2018. The department's Business Registration and Licensing service issued 1,898 new licences during October 2018, an increase of 25.8% compared with September. However, Emirates NBD's Dubai Economy Tracker index -another barometer of economic sentiment-for October showed the lowest reading since March 2016, with the index falling to 52.5 from 54.4 the previous month as travel and tourism contracted marginally and the private sector continued to feel the impact of a prolonged oil price slump. Although output and new orders in the private sector were still in positive territory in October according to the Emirates NBD survey, growth rates slowed compared with previous months in 2018.

Despite a seasonal slowdown in tourism in October, we expect Dubai's economy to continue to gain momentum from increased government spending on infrastructure projects in the run-up to World Expo 2020, a positive business environment, with the opening up of a handful of sectors to 100% foreign investments, and oil prices that we expect to stay above US$70/barrel during our forecast period. However, economic growth will remain susceptible to volatility in global crude oil prices despite Dubai's economy being the least dependent on hydrocarbons among the Gulf Arab states.
"
Business/investor sentiment,Dubai,"Foreign direct investment (FDI) into Dubai recorded significant growth in the first half of 2018, reaching $4.84 billion (Dh17.76 billion), a 26 per cent growth compared to the first half of last year, said a report.

HH Sheikh Hamdan bin Mohammed bin Rashid Al Maktoum, Crown Prince of Dubai and chairman of Dubai Executive Council, has stated that increasing foreign direct investment (FDI) inflows reflect growing investor confidence in Dubai, said Wam news agency report.

The number of FDI projects surged to 248, an increase of 40 per cent over the same period last year, according to the 'Dubai FDI Monitor' data issued by the Dubai Investment Development Agency (Dubai FDI), an agency of the Department of Economic Development (DED) in Dubai.

Sheikh Hamdan said that the rise in FDI capital and projects reinforces Dubai's leading position as the preferred global location for global businesses and startups pursuing growth and expansion and clearly reflects investor confidence in Dubai's economy.

Dubai ranks third globally in the number of greenfield FDI projects, according to the Financial Times ' fDi Markets, which account for 64 per cent of total FDI projects in the first half of 2018.

Sheikh Hamdan added that Dubai's ability to maintain its position as one of the top FDI destinations in the world reflects the confidence of the global investor community in its business environment and its ability to offer diversified investment opportunities in key growth sectors, especially knowledge and technology.

The Dubai FDI Monitor shows that 43 per cent of all FDI projects in the first half of 2018 are using high and medium technology, according to the classification universally adopted by the Organisation for Economic Co-operation and Development (OECD).

Strategic projects accounted for 56 per cent of total investment projects that Dubai attracted in the first half of 2018. The US, India, Thailand, Spain and the UK topped the list of source countries for FDI capital. The US also topped the list of investment projects, followed by France, UK, India and Switzerland.

Sheikh Hamdan highlighted Dubai''s success in attracting investments from both developed and developing markets and providing a platform for businesses to serve markets across the Middle East, Africa and South Asia.
"
Business/investor sentiment,Dubai,"New licence issuances across the UAE surged nine per cent in eight months this year over the same 2017 period, reflecting the steady recovery in business confidence.

According to the UAE's Ministry of Economy, a total of 532,000 business licences were issued across the Emirates by the end of August, with Dubai and Abu Dhabi accounting for 85 per cent of the total at 453,000.

While Dubai accounted for 249,000 or 46.8 per cent, in Abu Dhabi, a total of 77,406 licences were issued.

Analysts see the surge in new licence issuance despite the challenging business environment against the backdrop of general regional slowdown as a vote of confidence in the long-term UAE economic prospects and its pro-business policies and initiatives.

In 2017 World Bank Ease of Doing Business report, the UAE ranked 21st globally and first among Arab countries for the fifth year in a row.

Data from the Ministry of Economy show that in Dubai, limited liability companies account for the majority of the new licences (170,066 companies), followed by individual companies (72,807), foreign companies (2,141), single member limited liability companies (1,869), and Gulf companies (894).

In Abu Dhabi, out of the 77,406 licences, 25,460 were for limited liability companies and 17,942 for company branches.

In Sharjah, 51,998 licences were issued, of which 23,178 were for limited liability companies.

Dubai and Abu Dhabi have been initiating several stimulus measures on top of several new policy and regulatory reforms undertaken on federal level, including 10-year residency visa for certain categories as well labour guarantee refund, to stimulate business growth.

As part of a drive to encourage new businesses, the Abu Dhabi Department of Economic Development launched recently its expanded Tajer Abu Dhabi licence package, enabling business applications from all GCC nationals and UAE residents with an Emirati partner without an office or physical presence. The committee also abolished the need for a two-year office or workspace licence, permitting instead permanent home-based licences.

The service is part of the three-year Dh50 billion stimulus package for the emirate unveiled in June by His Highness Sheikh Mohamed bin Zayed Al Nahyan, Crown Prince of Abu Dhabi and Deputy Supreme Commander of the UAE Armed Forces.

Tajer Abu Dhabi allows new businesses to start at a much lower cost since they no longer have to invest in office space and all the associated costs. This will allow them to focus both time and money at the important early stages of their business into growth and innovation, further increasing their contribution to the economy.

Investor confidence in Dubai has been remaining strong despite several global and regional challenges on the back of a string of investor-friendly reforms and regulations initiated by the authorities.

According to various surveys, including the latest data provided by the Department of Economic Development, the competitive edge Dubai has been enjoying for years as a global hub for startups and new ventures received yet another acknowledgement with the DED data showing that the emirate clocked 24,489 transactions related to business licensing and registration in July alone.

There have been several game-changing initiatives that have improved business confidence and the long-term investment outlook of Dubai. However, the most anticipated game-changer will be the new investment law to be unveiled in the fourth quarter - which will authorise complete foreign ownership of firms in select sectors, analysts said.

The landmark decision of the UAE Cabinet to raise global investors' ownership of companies to 100 per cent and the launch of an integrated system for UAE visas aimed at attracting talents are among the critical steps that fast-track the country's efforts towards achieving the objectives of the National Agenda 2021, analysts said.

The Dubai Competitiveness Report 2018 issued by the Switzerland-based IMD World Competitiveness Centre in cooperation with the Dubai Competitiveness Office of the DED shows that the emirate ranks first in the Arab world and fourth worldwide in the 'economic performance' pillar, outpacing Canada, Japan, Singapore and Hong Kong and all EU countries excluding Luxembourg.

According to the report, Dubai leads the Arab world in direct inward investment flows and tourism receipts among others. The report showed that Dubai ranked first among Arab countries and ninth globally in inward investment with 6.42 per cent of GDP and with a stock of $73.8 billion, ahead of the US, Australia, Canada, Germany, France and China. Dubai also ranked second in the Arab world and 12th globally in 'foreign direct investment abroad' with 4.51 per cent of GDP and a total stock of $28.8 billion.
"
Business/investor sentiment,Dubai,"Investor confidence in Dubai remained robust during July with the Department of Economic Development (DED) witnessing 24,489 transactions related to business licensing and registration.

A total of 1,651 licences were issued during the month in addition to 12,532 license renewals and 2,175 initial approvals, according to data recorded by DED’s Business Registration & Licensing (BRL) sector.

Its Business Map tracks business registration and licensing in DED and seeks to reflect the economic realities in Dubai by providing vital data on each licence category, a statement said.

Among the total transactions recorded in July, 3,128 were related to trade name reservation and 1,268 to commercial permits. Auto renewal transactions amounted to 5,918, instant licenses stood at 101 and 102 transactions were related e-trader licences.

BRL activity in July reflected momentum across all sectors as new licences covered the commercial (60.5 percent), professional (36.8 percent), tourism (1.4 percent) and industrial (1.3 percent) categories, the statement said.

The distribution of new licences showed Bur Dubai accounted for the lion's share with 798 of the licences, while Deira had 712, New Dubai 133 and Hatta, eight.

The construction sector accounted for most of the new licences issued (17.3 percent) while Indians, Pakistanis, Egyptians, Chinese, British, Saudis, Jordanians, Syrians, and Kuwaitis were the top nationalities of BRL customers during July.
"
Business/investor sentiment,Dubai,"Positive sentiment for Dubai's future projects in May was the highest ever recorded by Emirates NBD's Dubai Economy Tracker Index since the gauge was launched in April 2012.

Non-oil sector conditions also improved at the fastest rate in 13 months in May, with the wholesale and retail and travel and tourism sectors driving the momentum, according to the index.

Positive sentiment towards future growth prospects reached a series-record high in May,” Emirates NBD said in a statement on Monday. New project wins, Expo 2020 and forecasts of robust demand underpinned business confidence.”

Dubai’s economy, which suffered an economic slowdown in the past few years, is expected to have stronger growth this year on the back of higher government spending, particularly expenditure related to Expo 2020 projects.

The seasonally adjusted Emirates NBD Dubai Economy Tracker Index – a composite indicator designed to give an overview of operating conditions in the non-oil private sector economy – reached 57.6 in May up from 53.9 in April, the fastest pace of growth since April 2017. A reading above 50 indicates expansion and a reading below 50 indicates contraction.

The sharp rise in the Dubai Economy Tracker index supports our view that growth in Dubai will be faster this year relative to 2017, but the headline reading masks the squeeze on profit margins which is also evident in the survey data,” Khatija Haque, head of Mena Research at Emirates NBD, Dubai’s biggest bank, said on Monday. Firms, particularly in the wholesale and retail sector, cut prices aggressively to boost their output and new orders last month.”

The wholesale and retail sector led the improvement in May, with the sectoral index reading of 58.3, up from 53.5 in April, followed by travel and tourism with 57.3, up from 55.3. The construction sector was the only one to decline - to 54.6 from 54.9 in April. ________

The uptick in business conditions in May were driven by higher rates of new output, which increased at the fastest pace in 40 months, and new order growth, which accelerated to a 39-month high thanks to promotional activities and robust” demand conditions.

New hiring in May grew at a limited pace, with many respondents saying that employment growth was restricted due to efforts to contain costs”.

For the UAE, the headline seasonally adjusted Emirates NBD UAE Purchasing Managers’ Index rose to 56.5 in May, from 55.1 in April. The figure was indicative of a sharp improvement” in UAE business conditions, above the long-run average, the bank said last week.

The UAE PMI has been rising steadily since March, when it hit a 10-month low, declining to 54.8 from 55.1 in February. The May reading was the highest in four months.
"
Business/investor sentiment,Dubai,"Business confidence in Dubai has risen over the first quarter of 2018 and Q4 2017 as local businesses anticipate better revenues, sales volumes, orders and profits, according to a survey conducted by the Department of Economic Development (DED).

According to DED, the entity’s composite business index improved by 5.5 points after registering 116.7 points in Q1 2018, compared to 111.2 points in Q4 2017. The survey for Q1 2018 was conducted taking a sample of 502 companies across Dubai and they were asked to indicate if they anticipated an ‘increase’, ‘decrease’ or ‘no change’ on key outlook indicators, including sales revenues, selling prices, volumes sold, profits and number of employees.

In the survey, DED noted that improving global economic prospects and improving oil prices, coupled with Dubai’s investments in infrastructure, diversification and economic transformation are expected to lead to an uptick in growth from 2.8 percent in 2017 to 3.5 percent in 2018.

Across Dubai, outlooks across all the survey’s various indicators were found to have improved. Sentiments on sales revenues, for example, rose from 26 percent in Q1 2018 to 37 percent in Q2 2018, with 35 percent of respondents noting that they expect higher sales volumes, up from 22 percent for Q1 2018.

Of the sectors analysed, trade appears to be the most confidence about their business prospects in terms of revenues, selling prices, profits and new purchase orders, while the services sector is the most optimistic about hiring expectations.

In the trading, auto traders were found to be particularly optimistic about the prospects of higher sales volumes during Q2 2018.

Half of the survey’s respondents said they expected business conditions to improve in Q2 2018, compared to 41 percent the previous quarter.

While 40 percent of respondents said that they expect more stable conditions, the survey also indicated that 49 percent of the respondents do not expect any negative factors to impact their business operations.

Additionally, 71 percent of respondents said they were upbeat about capacity expansion plans, compared to 69 percent in Q4 2017 and 61 percent in Q1 2017.
"
