Tweet,anger,disgust,fear,sadness,pessimism,anticipation,love,optimism,joy,surprise,trust
" "" فليشهد الله أنني لم أيأس قط، أعتـرف||أنني فقدت الأمل في لحظات ضعف ولكن||كان هناك صوت في داخلي يردد دائماً بأن ||من تمسك بالله ف…",0,0,1,1,0,1,0,1,0,0,1
- ˼ بكيت من حظي وش عاد اسوّي||نويت الصبر و خانتني دموعـي ˹ .,0,0,0,1,1,0,0,0,0,0,0
- ˼ بكيت من حظي وش عاد اسوّي||نويت الصبر و خانتني دموعـي ˹ .||#عبارات #عبارات_حزينه,0,0,0,1,1,0,0,0,0,0,0
"- أقسى أنواع الضعف ، ||ضعف قلبّگ لما يكون ؛ ..||عاجز يكرهہ شخص أوجعَهہ كثيرآ💔",0,0,1,1,1,0,1,0,0,0,0
- صبـاح الخـير ..!!||لعل اليـوم يختـلف عن كل الأيّـام ويأتي بالخـير الـمقصـود .. ❤,0,0,0,0,0,1,1,1,1,0,1
-في مجتمعنا|| ان كتبت ب حزن || يضنون انك تعيش خيبة حب ||وان كتبت ب سعاده || يضنون انك واقع في الحب ||متئ يفهمون انه ذوق وليس مشاعر 🍁🎻,1,0,0,1,0,0,0,0,0,0,0
"ٓ ||||اتخيّلك واشوفك أحلى عن الغير ||وغلاااك يبقىّ في ضميري مقره ||.||هذا كلاميّ صدق ما فيه "" تغيير "" ||شوفك سعاده وشوف غيرك مضره",0,0,0,0,0,0,1,0,1,0,0
"ٓ||||ربي إني أنتظر منك بشارة خير ، فلا تأجلها يارب وعجِّل بها يا أكرم الأكرمين اللهم بشِّرني بما يسرني وأنت خير المبشرين 💛..",1,1,0,1,1,0,0,0,0,1,0
 ⁧ || ﴿ قَد أُوتيِتَ سُؤلكَ يا مُوسَى ﴾ ||اللهُم كَقولك لِموسى قل لما في قلبي ❤,0,0,0,0,0,0,1,1,0,0,0
 ⛔هذه هي مكافئة نهاية الخدمة للي يشتغل عند آل سلول هذا دمهم ولحمهم كيف لو كان غريب ! ||||المهلكة التعوسية قامت تاكل عيالها…,0,0,0,1,0,0,0,0,0,0,0
 '||||عندي امل مثل ماقالت ريوم ان كنال دي يفوزون كوبلنا بافضل ثنائي بالفراشة عشان يزيدون مبيعات المسلسل بره تركيا ✌🏻||||قولوا…,0,0,0,0,0,1,0,1,1,1,1
 '||||يقول ||||انا الخواف يادنيا||انا الخواف من كلشي||لو احلم حلم مو زين||انا ارجف قبل رمشي||ادگ بلباب الف دگه||وفز بليل الف فزه||انا ا…,0,0,1,1,0,0,0,0,0,0,0
 -  خير م قيل  وخير م يقال  || - ﺎسٺغفر ﺎللہ وﺎٺوب ﺎليہ ..,0,0,1,0,0,0,0,1,1,0,0
" - "" فيكي حاجَه شاده روحي .. قَلبي مَش عاوزك تَروحي ❤ https",0,0,1,0,0,1,1,0,0,0,0
 - ||||اللهُم الفرح في كُل ما أريد ❤ https,0,0,0,0,0,0,1,1,0,0,0
" - ||||صَباحُ الخَيْر لفرصة الأمس الضائعة، لمن جرحنا، آذانا، ولم يعد يذكر إحساننا، كَسرُنا تشافى، وجرحنا اندمل، والأمل في قلوبنا يش…",0,0,0,1,0,0,1,1,0,0,0
 - ||صباح الخير ي دنيا ||إضحكي لي كثر ما في قلبي ||نوايا خير ..💕||||#صبااح_الخير ... https,0,0,0,0,0,0,1,1,1,0,1
" ࿐❁||.||قد يظن البعض أن #التسامح ضعف||وان #الصمت هزيمه ،||لكنهم لا يعرفون ان  التسامح ||يحتاج قوه اكبر من الانتقام ،||وان #الصمت اقوى م…",0,1,0,1,0,0,0,0,0,0,1
 - اجمل مايقال كل صباح ||اللهم إني وكلتك امري فـ انت لي خير وكيل ودبر لي امري فإني لا احسن التدبير,0,0,0,0,0,1,1,1,1,0,1
" - الهلال باب رزق !!||- تتغير الإدارات ،، تتغير الظروف ،، تتغير الفروقات ويظل الفوز على الهلال حلم يتوارثه الاتاوية !!||- بنشوف…",0,0,0,0,0,0,1,1,1,0,1
 - إذا كان أمرنا كله #خير فلماذا ندعوا الله؟||- مالفرق بين #الدعاء و #الشكر ؟||- ماهي #الخيرة ؟ ||.||الدعاء و الشكر و الخيرة https,0,0,1,1,1,1,0,0,0,0,0
" - إلى صديقة في ضيقها||||""فما البؤس إلا وقودُ الهنا،||وبشرىً ستأتي ولو بعد حينْ.||وما الضيقُ إلا جسورُ المنى،||ولطفٌ خفيٌّ بهِ تنعمي…",0,0,0,1,0,1,0,1,1,0,0
" - أقسى أنواع الضعف ، ||ضعف قلبّگ لما يكون ؛ ..||عاجز يكرهہ شخص أوجعَهہ كثيرآ💔",1,0,1,1,1,0,0,0,0,0,0
" - ألف مره ،||مات صبري وألف مره بكيت||#عشق_الحروف_للدعم||#امي_اليمن_للدعم https",0,0,0,1,1,0,0,0,0,0,0
" - أمركم غريب أيها المصريون.||||- ليه ؟||||- لأ عموما يعني ، مفيش حاجة محدده.",0,0,1,0,0,0,0,0,0,0,0
 - حتى الندم عاتبنى ! ||كان ايه لزمته ! جربت قسوته ؟||غلطتى سجّان محاوطنى مُرّ||مش أنا انسان !||وصمه فحياتى مش عار بِيذِل||ولا…,1,0,0,1,0,0,0,0,0,0,0
 - خذ بيدي واخبرني ||- بأن هناك امل لنا https,0,0,0,0,0,1,1,1,1,0,1
 - عودة *حصريات السنقل 🇯🇴 .. 👇 ||- جديد وحصري 🔥 ||||جديد دانا العتيبي سعودية متحررة بأمريكا مع حبيبها عيد الدوسري ( كبلز متحرر…,0,1,0,0,0,0,1,1,1,0,0
 - عودة *حصريات السنقل 🇯🇴 .. 👇 ||- جديد وحصري 🔥 ||||مقطع جديد وحصري لزوجين كبلز متحررين من الأردن وجسم فتاك مع وضعية تصوير رائ…,0,0,0,0,0,0,1,1,1,0,1
" - قبل قليل نظرت الى المرآة ، وكأني ارى بها شخص غريب وجهه مألوف 😔 -",1,0,0,1,1,0,0,0,0,0,0
 - كانت النيه اكتم ولا ابكي؟وبلحظة ضعف بكيّت.,0,0,1,1,1,0,0,0,0,0,0
 - كانوا يقولون الوقت كفيل ينسيكـِ كل وجع وأنا أقول مر الوقت ولازلت أذكر مانسيت..💟|||| #حكاوي_قلہٰبٰٰ https,1,0,0,1,1,1,1,1,0,0,0
" - لجنة الانضباط والأخلاق.. ||عاقبت كارينيو بسبب تصريحه عن أرضية ملعب ""الملز"".. وصمتت بشكل غريب وعجيب عن تصريحات لاعب اله…",1,0,0,1,0,0,0,0,0,0,0
" - لما واحد يغلط عليگ وتقولھ بصوت عالي وش قلت ؟!!|||| ويرجع يعيد اللي قالھ ،|| هنا تتورط ماتدري شتسوي الحيوان ما خاف .☻💔",1,1,0,0,0,0,0,0,0,0,0
 - مخنوق ||= قوم صلي||- مش طايق حد||= قوم صلي||- مش جايلك نوم||= قوم صلي||- حاسس انك لوحدك||= قوم صلي||- عايز تقرب من ربنا||= قوم صلي…,0,0,0,1,0,0,0,1,0,0,1
 - مخنوق ||= قوم صلي||- مش طايق حد||= قوم صلي||- مش جايلك نوم||= قوم صلي||- حاسس انك لوحدك||= قوم صلي||- عايز تقرب من ربنا||= قوم…,0,0,0,1,0,0,0,1,0,0,1
 - من ٺكبر ؟ صار بـ عيوني غريب ♺ .,0,0,0,1,0,0,0,0,0,0,0
@REEM1NFC @almshaar99 @zhoor_nfc تستاااااااهل كل خير فاقدة أبوووووها,0,0,0,1,0,0,1,0,0,0,0
" - يا الله أينما ولّيت وجهي إزرع الطيّبين في طريقي ، سخر لي الأرض ومن عليها وأجعل حصاد أيامي خير في خير ✨💛 ..",0,0,0,0,0,0,1,1,1,0,1
" - يقول إبن فطيس ||ياكثرهم غيره و لكن ؟ خبر خير||ماغير شوفه في الوجود يهنيني ،",0,0,0,1,1,0,1,0,0,0,0
@sarahhaleemm95 😂😂😂😂😂😂 موتني ضحك يخرب بيته,0,0,0,0,0,0,0,1,1,0,0
" -||""التعليم دا محدش هيعاتبك عليه لان دي قُدرات من عند ربنا انما تربيتك واخلاقك دول من عند ابوك وامك خاف على شكلهم""||😌🚶🏻",0,0,0,0,0,1,0,1,0,0,1
" -||""ستحقق ما تريده يوماً ما، ستبكي لأنك بكيت على شيءٍ فقدته فعوضك الله بأفضل، ستفرح لأنك انتظرت حدوث لحظة ٍوحُرْمت منها طو…",0,0,0,0,0,1,1,1,1,1,1
 -||||الحُب الذي من منحتك إياه هو قطرة ||من بحر غرامي بك ❤ ..,1,1,1,1,1,1,0,0,0,1,0
يخرج من النار من قال لا إله إلا الله وفي قلبه وزن شعيرة من خير ويخرج من النار من قال لا إله إلا الله وفي قلبه وزن ب… https,0,0,1,0,0,1,1,1,0,0,1
 -||||دام قلبك وَرد  وأحبابك حجر||اللقا مو صعب إلا .. مسّتحيل||||لو بكيت ؟ من الفجر لين الفجر||ما بيرجّع شخص عاجبه الرحيل .||||🔕'||#Mk_…,0,0,1,1,1,0,1,0,0,0,0
 -||||كل حرف بِـ محادثتك له شعُور ||حتى كلامك يخلُق الأمان بقلبّي||||#لقلبه ❤ .. https,0,0,0,0,0,0,1,1,1,0,0
" -||||مُْڪرڪبہ حٺى ألُقٌآڪ فُأٺرٺّب ، مُْرٺبّہ وُإڏآ صًآڊفُٺگ أٺڪرڪٻْ ❤",0,0,0,0,0,0,1,0,1,1,0
 -||||ماجيت ادور في قصيدي علاقات || رجل على وضح النوايا طريقي||||قالو قصيدك  حب طيب سلامات || هو كل حلم في زمنا حقيقي ||||#قروب_غيم_للدعم…,0,0,1,1,1,1,1,0,0,0,0
 -||البساط الأحمدي مع واحدٍ يغلينا||خير من ناسٍ نجالسها ولا نأمنها ),0,0,0,1,0,1,0,0,0,0,0
@an511_n جعله الساحق الماحق والرصاص المتلاحق جعله من مصيبه في مصيبه ومن وجع في وجع جعلهم ينفرون به من جبال تهامه ول… https,1,1,1,0,1,0,0,0,0,0,0
@applepiene شكلها مش غريب عليا,0,0,0,0,0,1,0,0,0,0,0
@arabqoute ايه تجاهليني اكثر لانه بديت امل,0,1,0,1,0,1,0,0,0,0,0
