emoji,freq,sentiment
:face_with_tears_of_joy:,269,joy
:red_heart:,195,love
:broken_heart:,180,sad
:angry_face:,127,angry
:smiling_face_with_heart-eyes:,125,love
:pouting_face:,79,pouting
:loudly_crying_face:,60,crying
:face_with_steam_from_nose:,58,angry
:blue_heart:,52,love
:two_hearts:,49,love
:crying_face:,39,crying
:smiling_face_with_smiling_eyes:,37,happy
:sparkles:,33,wow
:OK_hand:,30,ok
:rose:,26,rose
:purple_heart:,25,love
:face_blowing_a_kiss:,24,kiss
:yellow_heart:,24,love
:cherry_blossom:,24,flower
:worried_face:,23,worried
:grinning_face_with_sweat:,22,relieved
:see-no-evil_monkey:,20,embarrassed
:unamused_face:,20,upset
:slightly_smiling_face:,18,smile
:grinning_face:,17,grin
:woman_dancing:,17,dance
:grinning_face_with_smiling_eyes:,17,happy
:smirking_face:,16,smirk
:green_heart:,16,love
:grinning_face_with_big_eyes:,15,happy
:winking_face:,15,wink
:heart_suit:,14,love
